T,mu,phi,Phi1,Phi2,mass,pressure,rho,entropy,energy,converged
123.0,0.0,-3.91486093362902,0.013925708742650884,0.013925708742650884,1.5284092326178111,18.27429355671638,1.8706130424574925e-16,0.014803253976775448,-18.265066372612882,1.0
124.0,0.0,-3.914401844466889,0.014412523110538993,0.014412523110538993,1.5282329700116914,18.27437093436844,-1.2266218791978477e-16,0.01574230788722225,-18.264478641366793,1.0
125.00000000000001,0.0,-3.913918234173245,0.014910687421610369,0.014910687421610369,1.5280472927669744,18.2744531893797,1.4923588741151297e-16,0.01672844289475798,-18.263856446046983,1.0
126.00000000000001,0.0,-3.913409038662986,0.015420362452662963,0.015420362452662966,1.527851792339027,18.274540564805086,1.0679235749827692e-17,0.017763432179953624,-18.263198181717495,1.0
127.00000000000001,0.0,-3.912873392944122,0.015941706207833133,0.015941706207833133,1.5276461366229879,18.274633312800876,-2.012565951746354e-16,0.01884909185845403,-18.262502188967584,1.0
128.00000000000003,0.0,-3.912310183038094,0.016474887047888284,0.016474887047888284,1.5274298979181402,18.274731694885617,9.209925046588427e-17,0.019987298537653905,-18.261766741696444,1.0
129.00000000000003,0.0,-3.911718336253155,0.017020075439393937,0.017020075439393937,1.527202664375417,18.274835982213023,2.2100477520058365e-17,0.021179981001607277,-18.260990051289152,1.0
130.00000000000003,0.0,-3.9110967492956252,0.017577446280452044,0.017577446280452047,1.5269640123964514,18.2749464558535,1.461387105272395e-16,0.022429124761382188,-18.260170262578377,1.0
131.00000000000003,0.0,-3.910444287401341,0.018147179144431175,0.01814717914443117,1.5267135063001054,18.275063407088965,1.8442095111395416e-16,0.02373677423833961,-18.259305451252434,1.0
132.00000000000003,0.0,-3.9097597834204194,0.018729458531628745,0.018729458531628745,1.526450697971073,18.27518713771423,1.1363626466705148e-16,0.025105035074763606,-18.25839362111833,1.0
133.00000000000003,0.0,-3.9090420368507353,0.019324474129284227,0.019324474129284227,1.5261751264887955,18.27531796035656,1.6128172604483483e-17,0.02653607659773646,-18.257432701209453,1.0
134.0,0.0,-3.9082898128177264,0.019932421080374574,0.019932421080374574,1.525886317735767,18.275456198802466,-1.7723484744392877e-16,0.028032134427119992,-18.256420542727696,1.0
135.0,0.0,-3.9075018409974236,0.020553500261659884,0.020553500261659884,1.525583783984043,18.275602188341963,8.58809824233072e-18,0.02959551325132151,-18.255354915809008,1.0
136.0,0.0,-3.9066768144790207,0.021187918571471245,0.02118791857147125,1.5252670234585353,18.27575627612584,-4.453838791285104e-17,0.03122858976955584,-18.254233506102732,1.0
137.0,0.0,-3.9058133885639617,0.02183588922776922,0.02183588922776922,1.524935519875935,18.27591882153775,-4.303523530401224e-17,0.032933815815270516,-18.253053911150623,1.0
138.0,0.0,-3.9049101794971315,0.022497632077035448,0.022497632077035448,1.524588741957564,18.27609019658385,-2.657733222712086e-17,0.034713721672577504,-18.251813636553365,1.0
139.0,0.0,-3.9039657631265436,0.02317337391459205,0.023173373914592045,1.5242261429147788,18.276270786299385,-3.1158106538072058e-18,0.03657091959468569,-18.250510091910993,1.0
