iteration,rho0,B_A,K,m_ratio,E_sym,objective_value,is_best
103,0.17,-17.0,312.0541727247873,0.6925438236200628,26.1,1000258.0128821817,False
104,0.17,-17.0,401.0,0.6635335842557941,26.1,1000381.5688364559,False
105,0.16970465491381373,-16.49872642705077,285.6340281305638,0.7113150966260341,26.18024839918533,1000240.2529095018,False
106,0.17,-17.0,212.0,0.6929157296425322,33.07709697812615,1000324.3185811981,False
107,0.17,-15.6,374.9189151382533,0.7252306750443719,28.464186406468826,1041.2084629663188,False
108,0.17,-16.355338153961192,393.42172551291344,0.7414724525594174,31.842905740042035,627.308183135465,False
109,0.145,-15.6,401.0,0.75,35.2831283566297,1000179.4730966298,False
110,0.17,-15.6,374.14405633714085,0.7417646188447566,29.81125452400056,741.8734107268167,False
111,0.145,-17.0,390.6970059152721,0.7374947162977489,31.52652110788474,743.8361930808742,False
112,0.17,-17.0,212.0,0.6386999565724693,33.77165781807319,1000428.8280471001,False
113,0.17,-17.0,366.4396990700906,0.7245932877852359,29.322010038018703,865.9556938974048,False
114,0.145,-16.207983188247038,395.9238650118078,0.7453400290536473,30.60589849211199,651.1821744858153,False
115,0.17,-15.6,375.72721037270946,0.7448547525147725,31.093446717519917,737.1472420874547,False
116,0.17,-17.0,401.0,0.75,33.44007814088028,435.01358820320104,False
117,0.17,-17.0,401.0,0.7189449724665882,28.233658751078075,739.0294253875367,False
118,0.15090724866343294,-15.6,389.5114398491273,0.7408691587396335,26.1,587.5471610514662,False
119,0.17,-17.0,401.0,0.7325010670737366,28.317511891798976,519.4436681948994,False
120,0.17,-15.6,363.8423249254007,0.75,28.17139028178816,580.6667571249399,False
121,0.17,-15.6,363.81487062407234,0.731245156108795,26.1,811.5804937216561,False
122,0.17,-16.052669836582073,363.8688272151222,0.7212906316030578,28.456744344646157,1071.4330561882368,False
123,0.17,-15.6,401.0,0.7387100818381558,30.207890154544174,679.1714926227734,False
124,0.145,-17.0,401.0,0.7398433038121275,26.1,409.23448996283906,False
125,0.17,-15.6,350.6840696207246,0.7356973346410038,29.41690179774568,989.1392090409199,False
126,0.1585663238472832,-16.18472588834756,359.04788409598245,0.75,29.18813582436925,620.139341964149,False
127,0.17,-16.306792467552537,365.89669516771926,0.75,33.19593863176078,700.8900720329549,False
128,0.14757048943972265,-17.0,373.4681305097389,0.7428659332467897,31.68683624507108,704.6447365509364,False
129,0.17,-17.0,339.32344015540076,0.7418655182308428,26.1,653.3487592211211,False
130,0.145,-15.6,360.30823148927595,0.75,28.704460616173204,727.2791349373529,False
131,0.17,-17.0,401.0,0.7401017584102625,33.5053835741443,602.2083851984899,False
132,0.17,-17.0,401.0,0.7441233075443229,32.77064788213568,502.1320428443191,False
133,0.17,-16.159730578143446,372.80042013091224,0.7375767282316779,30.25669153847072,766.8814042592588,False
134,0.17,-15.6,362.85501887389665,0.75,35.07151979143198,958.912044951929,False
135,0.145,-15.6,379.4368059711585,0.75,30.156425724634566,733.5265886588213,False
136,0.1597507700590971,-17.0,379.1326593782918,0.73371321268148,31.787767003188026,799.4625602933093,False
137,0.145,-17.0,401.0,0.742438559961943,28.490842292014676,455.7432046765236,False
138,0.145,-15.6,401.0,0.7420466716817332,27.872682659222903,679.7734581085805,False
139,0.17,-17.0,401.0,0.7388803673086315,26.1,370.9208512365056,False
140,0.17,-16.53455114677905,401.0,0.75,35.03672972263776,543.7889658268089,False
141,0.17,-15.6,344.0661073951263,0.75,26.1,625.0703648642573,False
142,0.17,-15.6,401.0,0.735471857601606,29.11837789996345,687.9397480707812,False
143,0.145,-17.0,363.4569487184856,0.7382029252434064,30.449262651776074,789.7491852358396,False
144,0.17,-15.6,212.0,0.6114782828459291,26.1,2000282.2074421044,False
145,0.145,-17.0,362.7143685581914,0.7445029698257933,28.967480624872724,621.2236469473075,False
146,0.145,-17.0,401.0,0.75,28.77714716656769,357.4255242153314,False
147,0.17,-17.0,401.0,0.75,28.730068546238133,305.6524605479077,False
148,0.17,-17.0,373.327046625804,0.733654843902571,30.081454852407873,711.9192511595805,False
149,0.145,-17.0,212.0,0.6624999491882654,33.397306043602065,2000211.8849316938,False
150,0.17,-17.0,319.14484890101255,0.7140527984311952,32.24429266974873,1000264.13443292,False
